StateID,DataType,DefaultValue,Scope,Description,WriterNote
STA_W1_BORICHI_RECORD_SEEN,BOOL,FALSE,INFO,D2 보리치의 반복 관측기록 정리를 함께함,D3 보리치 Character OFFER 조건.
STA_W1_NIGHT_SHIFT_MET,BOOL,FALSE,INFO,D2 야간조 인계와 기본 규칙을 확인함,W2 샘 야간 사건 선행 세계관 노출.
STA_W1_OASIS_OBSERVED,BOOL,FALSE,INFO,D3~4 오아시스 펌프·지하수 변화 관찰 완료,Investigation Step1
STA_W1_OASIS_HYPOTHESIS,BOOL,FALSE,INFO,D4~5 펌프/지하수 변화 원인 가설 완료,Investigation Step2
STA_W1_OASIS_VERIFIED,BOOL,FALSE,INFO,D5~6 현재 지하수/오아시스 펌프 취수 방식 장기 위험 검증 완료,Investigation Step3
STA_W1_REPORT_DEPART_PREP,BOOL,FALSE,INFO,D6 보고에서 출항 준비 병행 쪽 강조,미래 Flag 자체는 UI 비공개
STA_W1_RECHECK_CAVEAT,BOOL,FALSE,INFO,D6 보고에 '현재 조건에서는' caveat를 명시,D18 재점검 문체 Seed
STA_W1_DISCLOSURE_DONE,BOOL,FALSE,INFO,D7 공개 결정 완료,Focus B 해금
STA_W1_SAM_EP1_DONE,BOOL,FALSE,INFO,D3~5 샘 책임 Episode1,Sam Full Route 1/2
STA_W1_SAM_EP2_DONE,BOOL,FALSE,INFO,D6~7 샘 책임 Episode2,Sam Full Route 2/2
STA_W1_JINA_PAST_SEED,BOOL,FALSE,INFO,D4 지나와 항해 당시 제이의 업무 관계 장면,Jina W1 Route Seed. 오랜 우정이 아니라 약 3개월 항해 중 형성된 실무적 신뢰/큰언니 같은 관계.
STA_W1_FAYE_MUSIC_DREAM,BOOL,FALSE,INFO,D4 페이 음악/기타 꿈,Faye 핵심 W1 Seed
STA_W1_DIYA_KNIT_SEED,BOOL,FALSE,INFO,D5 디야 뜨개질/망가진 지구/아이들/집,Diya W1 Seed. 기성세대에 대한 냉소와 다음 세대에 대한 애정을 함께 드러냄.
STA_W1_BORICHI_COMPARE_DONE,BOOL,FALSE,INFO,D3~5 보리치 자료 대조,Borichi W1 Seed
STA_W1_BORICHI_NIGHTMARE_SEED,BOOL,FALSE,INFO,D5 보리치 야간 과잉 확인,Borichi Full Route Seed
STA_W1_BEN_GRAVE_DEEP,BOOL,FALSE,INFO,D5 벤자민 묘지 후속,Benjamin Full Route Seed
STA_W1_FOCUS_A_USED,BOOL,FALSE,INFO,D6 Focus A 사용,Jina/Faye/Borichi 중 1
STA_W1_FOCUS_A_JINA,BOOL,FALSE,INFO,D6 Focus A Jina,Mastery Anchor
STA_W1_FOCUS_A_FAYE,BOOL,FALSE,INFO,D6 Focus A Faye,Mastery Anchor
STA_W1_FOCUS_A_BORICHI,BOOL,FALSE,INFO,D6 Focus A Borichi,Mastery Anchor
STA_W1_FOCUS_B_USED,BOOL,FALSE,INFO,D7 Focus B 사용,Benjamin/Diya 중 1
STA_W1_FOCUS_B_BEN,BOOL,FALSE,INFO,D7 Focus B Benjamin,Mastery Anchor
STA_W1_FOCUS_B_DIYA,BOOL,FALSE,INFO,D7 Focus B Diya,Mastery Anchor
STA_W1_RESEARCH_RESTORE_STAGE,INT,0,INFO,W1 연구실 authored 복구/기록 Restoration 진행 단계 0~3,Facility Integrity와 분리된 서사 진행도. 실제 연구실 수치는 STA_SHIP_RESEARCH_INTEGRITY 사용.
STA_W1_RESEARCH_LOG_BASELINE,BOOL,FALSE,INFO,추락 전 일반 관측기록 복구,Research Restore A1
STA_W1_RESEARCH_ENV_LOGS,BOOL,FALSE,INFO,토양·수질·대기 환경로그 복구,Research Restore A2
STA_W1_RESEARCH_LONG_SAMPLE,BOOL,FALSE,INFO,십 년 장기 표본/인덱스 복구,Research Restore A3
STA_SHIP_HULL_INTEGRITY,INT,5,SYSTEM,수송선 전체 외벽 Integrity (0~20),"ContentDesign v3.1 baseline. W1/W2 일반 보강 1회 = +4, 20 초과 시 시스템 Clamp."
STA_SHIP_BRIDGE_INTEGRITY,INT,2,SYSTEM,함교 Integrity (0~5),ContentDesign v3.1 baseline. W1 시작 2/5.
STA_SHIP_ENGINE_INTEGRITY,INT,2,SYSTEM,엔진실 Integrity (0~5),ContentDesign v3.1 baseline. D21 출항 Normal 핵심 >=3.
STA_SHIP_OXYGEN_INTEGRITY,INT,2,SYSTEM,산소보급실 Integrity (0~5),ContentDesign v3.1 baseline. D14 Shelter 핵심 >=3.
STA_SHIP_RESEARCH_INTEGRITY,INT,2,SYSTEM,연구실 Integrity (0~5),ContentDesign v3.1 baseline. W1 Research Restoration과 같은 시설값을 사용.
STA_SHIP_FREEZER_INTEGRITY,INT,5,SYSTEM,냉동창고 Integrity (0~5),ContentDesign v3.1 baseline. W1 시작부터 5/5라 Standard Repair 대상 아님.
STA_SHIP_GREENHOUSE_INTEGRITY,INT,5,SYSTEM,온실 Integrity (0~5),ContentDesign v3.1 baseline. W1 시작부터 5/5. D13 사건 이후 W3 시작값 3/5 TEMP.
STA_SHIP_LIVING_INTEGRITY,INT,2,SYSTEM,거주구역 Integrity (0~5),ContentDesign v3.1 baseline. D14 Shelter 핵심 >=3.
STA_W1_REPAIR_D3_USED,BOOL,FALSE,SYSTEM,Day3 Standard Repair 슬롯 사용 여부,ContentDesign v3.1: D3 하루 1회.
STA_W1_REPAIR_D4_USED,BOOL,FALSE,SYSTEM,Day4 Standard Repair 슬롯 사용 여부,ContentDesign v3.1: D4 하루 1회.
STA_W1_REPAIR_D5_USED,BOOL,FALSE,SYSTEM,Day5 Standard Repair 슬롯 사용 여부,ContentDesign v3.1: D5 하루 1회.
STA_W1_REPAIR_D6_USED,BOOL,FALSE,SYSTEM,Day6 Standard Repair 슬롯 사용 여부,ContentDesign v3.1: D6 하루 1회.
STA_W1_REPAIR_D7_USED,BOOL,FALSE,SYSTEM,Day7 Standard Repair 슬롯 사용 여부,ContentDesign v3.1: D7 하루 1회.
