ChoiceSetID,ChoiceID,Order,ChoiceText,ConfirmText,ResultText,TimeCost,WillCost,SoftStat,SoftRequirement,HardConditionLogic,HardCond1Type,HardCond1Key,HardCond1Operator,HardCond1Value,HardCond2Type,HardCond2Key,HardCond2Operator,HardCond2Value,Result1Type,Result1TargetType,Result1TargetID,Result1Value,Result2Type,Result2TargetType,Result2TargetID,Result2Value,Result3Type,Result3TargetType,Result3TargetID,Result3Value,Active,WriterNote
CHS_W1_INVEST_WATER,CHO_W1_INVEST_WATER,1,수원과 지층 흔적을 직접 조사한다,"물빛, 퇴적 흔적, 주변 지반을 함께 조사한다.",지질학적 흔적을 통해 장기 위험을 확인했다.,4,0,TECHNICAL,2,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_OASIS_RISK_FOUND,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W1_INVEST_REPORT,CHO_W1_INVEST_REPORT,1,알아낸 내용을 샘에게 보고한다,샘은 끼어들지 않고 끝까지 보고를 듣는다.,조사 결과가 공동체의 의사결정 문제로 넘어갔다.,1,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_INVEST_REPORT_DONE,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W1_DISCLOSURE,CHO_W1_DISCLOSE_ALL,1,모두에게 알린다,"사람들을 모으고, 위험을 설명하고, 질문과 반응을 받아내는 데 하루의 대부분을 쓴다.",진실은 공동체 전체에 퍼졌다. Week 2에는 사람들의 자발적 행동과 혼란을 함께 감당해야 한다.,12,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_DISCLOSE_PUBLIC,FIRE,ADD_XP,STAT,SOCIAL,2,,,,,TRUE,돌이킬 수 없는 선택. 12시간은 설명/반응/후속 대화 전체의 연출 압축.
CHS_W1_DISCLOSURE,CHO_W1_DISCLOSE_LIMITED,2,일부 핵심 인물에게만 알린다,샘과 함께 준비에 필요한 사람들을 골라 개별적으로 정보를 공유한다.,혼란은 작지만 준비의 책임은 소수에게 집중된다.,6,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_DISCLOSE_LIMITED,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,돌이킬 수 없는 선택. 정보 선별/브리핑 과정 전체 6시간.
CHS_W1_BEN_NAMES,CHO_W1_BEN_NAMES,1,묘지를 함께 걷는다,"벤자민은 처음엔 말이 적지만, 몇몇 이름 앞에서 발걸음을 늦춘다.",벤자민이 묘지를 단순한 장소로 보지 않는다는 걸 알게 됐다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_BEN_NAMES_DONE,FIRE,ADD_XP,STAT,SOCIAL,1,ADD_AFFINITY,CHARACTER,CHA_BENJAMIN,1,TRUE,
CHS_W1_SAM_BURDEN,CHO_W1_SAM_BURDEN,1,샘의 일을 돕는다,제이는 샘과 함께 사람들의 요구와 결정을 처리한다.,샘이 모든 선택에서 사람의 생사를 먼저 생각한다는 걸 보았다.,4,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_SAM_BURDEN_DONE,FIRE,ADD_XP,STAT,SOCIAL,1,ADD_AFFINITY,CHARACTER,CHA_SAM,1,TRUE,
CHS_W1_FAYE_SHIP,CHO_W1_FAYE_SHIP,1,수송선 우선순위를 정리한다,페이와 손상 구역을 돌아보며 어떤 부분이 생존과 출항에 중요한지 정리한다.,수송선 수리의 큰 우선순위를 이해했다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_FAYE_SHIP_DONE,FIRE,ADD_XP,STAT,TECHNICAL,1,ADD_AFFINITY,CHARACTER,CHA_FAYE,1,TRUE,
CHS_W1_JINA_RATIONS,CHO_W1_JINA_RATIONS,1,배급 업무를 돕는다,누구에게 무엇을 먼저 줄지 지나와 함께 결정한다.,자원을 나눈다는 일이 단순 계산이 아니라는 걸 알게 됐다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_JINA_RATIONS_DONE,FIRE,ADD_XP,STAT,SOCIAL,1,ADD_AFFINITY,CHARACTER,CHA_JINA,1,TRUE,
CHS_W1_DIYA_SETTLE,CHO_W1_DIYA_SETTLE,1,거주지를 기록한다,디야와 생활 공간을 돌며 사람들이 임시 거처를 바꾼 흔적을 기록한다.,이곳이 이미 누군가에게는 '사는 곳'이 되었다는 걸 보았다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_DIYA_SETTLE_DONE,FIRE,ADD_XP,STAT,SOCIAL,1,ADD_AFFINITY,CHARACTER,CHA_DIYA,1,TRUE,
CHS_W1_BOR_SKY,CHO_W1_BOR_SKY,1,기상 관측을 돕는다,보리치의 장비를 점검하고 최근 바람과 모래 이동 기록을 정리한다.,행성의 날씨를 읽는 기본 자료를 익혔다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W1_BOR_SKY_DONE,FIRE,ADD_XP,STAT,TECHNICAL,1,ADD_AFFINITY,CHARACTER,CHA_BORICHI,1,TRUE,
CHS_W2_STORM_WARN,CHO_W2_STORM_WARN,1,폭풍 징후를 함께 검증한다,보리치의 대기 자료와 제이의 지질 관측을 맞춰 본다.,큰 모래폭풍이 접근 중이라는 결론을 확인했다. 다만 얼마나 오래 갈지는 아직 모른다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_STORM_CONFIRMED,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W2_SHELTER,CHO_W2_SHELTER,1,수송선을 피난처로 전환한다,"샘, 페이, 지나와 수용 인원과 필요한 기능을 하나씩 확인한다.",수송선을 폭풍 기간의 공동 피난처로 쓰기로 결정했다.,4,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_SHELTER_DECIDED,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W2_EVAC_SORT,CHO_W2_EVAC_SORT,1,피난 물품을 분류한다,세 시간을 써서 오늘 해야 할 피난 준비 작업을 마친다.,피난 준비도가 올라갔다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W2_EVAC_PROGRESS,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_EVAC_SHIP,CHO_W2_EVAC_SHIP,1,수용 공간을 정리한다,세 시간을 써서 오늘 해야 할 피난 준비 작업을 마친다.,수송선 내부 준비가 진척됐다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W2_EVAC_PROGRESS,1,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W2_EVAC_WATER,CHO_W2_EVAC_WATER,1,식수를 옮긴다,세 시간을 써서 오늘 해야 할 피난 준비 작업을 마친다.,필수 식수가 수송선으로 이동했다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W2_EVAC_PROGRESS,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_SEAL,CHO_W2_SEAL,1,출입구를 봉쇄한다,마지막 인원과 장비를 확인하고 외부 출입구를 닫는다.,모두가 수송선 안으로 들어왔다. 이제 폭풍이 지나갈 때까지 밖으로 나갈 수 없다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_SHIP_SEALED,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_BEN_GRAVE,CHS_W2_BEN_GRAVE_PRESERVE,1,묘지 보강에 시간을 쓴다,당장 피난 준비에 쓸 시간을 외부 시설 보존에 투자한다.,폭풍이 지나간 뒤 남을 가능성을 위해 시간을 썼다.,5,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_BEN_GRAVE_PRESERVE,FIRE,ADD_XP,STAT,PERSONAL,1,ADD_AFFINITY,CHARACTER,CHA_BENJAMIN,1,TRUE,
CHS_W2_BEN_GRAVE,CHS_W2_BEN_GRAVE_WITHDRAW,2,기록만 회수하고 철수한다,보존보다 피난과 수송선 준비를 우선한다.,외부를 지키는 대신 지금의 생존 준비에 더 집중했다.,1,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_BEN_GRAVE_WITHDRAW,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,포기하는 선택도 정리/회수 과정에 최소 1시간을 사용.
CHS_W2_DIYA_HOME,CHS_W2_DIYA_HOME_PRESERVE,1,거주지 구조물을 보강한다,당장 피난 준비에 쓸 시간을 외부 시설 보존에 투자한다.,폭풍이 지나간 뒤 남을 가능성을 위해 시간을 썼다.,5,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_DIYA_HOME_PRESERVE,FIRE,ADD_XP,STAT,PERSONAL,1,ADD_AFFINITY,CHARACTER,CHA_DIYA,1,TRUE,
CHS_W2_DIYA_HOME,CHS_W2_DIYA_HOME_WITHDRAW,2,필수 기록만 챙기고 철수한다,보존보다 피난과 수송선 준비를 우선한다.,외부를 지키는 대신 지금의 생존 준비에 더 집중했다.,1,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_DIYA_HOME_WITHDRAW,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,포기하는 선택도 정리/회수 과정에 최소 1시간을 사용.
CHS_W2_JINA_WATER,CHS_W2_JINA_WATER_PRESERVE,1,펌프와 수원 설비를 방호한다,당장 피난 준비에 쓸 시간을 외부 시설 보존에 투자한다.,폭풍이 지나간 뒤 남을 가능성을 위해 시간을 썼다.,5,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_JINA_WATER_PRESERVE,FIRE,ADD_XP,STAT,PERSONAL,1,ADD_AFFINITY,CHARACTER,CHA_JINA,1,TRUE,
CHS_W2_JINA_WATER,CHS_W2_JINA_WATER_WITHDRAW,2,물을 최대한 수송선에 싣는다,보존보다 피난과 수송선 준비를 우선한다.,외부를 지키는 대신 지금의 생존 준비에 더 집중했다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_JINA_WATER_WITHDRAW,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,포기하는 선택도 정리/회수 과정에 최소 1시간을 사용.
CHS_W2_FAYE_EQUIP,CHS_W2_FAYE_EQUIP_PRESERVE,1,외부 설비를 남길 수 있게 보강한다,당장 피난 준비에 쓸 시간을 외부 시설 보존에 투자한다.,폭풍이 지나간 뒤 남을 가능성을 위해 시간을 썼다.,5,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_FAYE_EQUIP_PRESERVE,FIRE,ADD_XP,STAT,PERSONAL,1,ADD_AFFINITY,CHARACTER,CHA_FAYE,1,TRUE,
CHS_W2_FAYE_EQUIP,CHS_W2_FAYE_EQUIP_WITHDRAW,2,부품을 뜯어 수송선 안으로 가져간다,보존보다 피난과 수송선 준비를 우선한다.,외부를 지키는 대신 지금의 생존 준비에 더 집중했다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_FAYE_EQUIP_WITHDRAW,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,포기하는 선택도 정리/회수 과정에 최소 1시간을 사용.
CHS_W2_SEEDS,CHO_W2_SEEDS_KEEP,1,씨앗과 재배 장비를 보존한다,장기적으로 다시 재배할 수 있도록 씨앗과 핵심 장비를 따로 포장한다.,당장 쓸 수 있는 물자는 줄었지만 미래의 재배 가능성을 남겼다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_SEEDS_PRESERVED,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_SEEDS,CHO_W2_SEEDS_USE,2,지금 필요한 물자로 전환한다,재배용 여유분을 줄이고 당장 먹고 버티는 데 쓸 수 있게 정리한다.,미래 가능성 대신 현재 보급의 여유를 늘렸다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_SEEDS_USED,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_LAST_OBS,CHO_W2_LAST_OBS,1,폭풍 직전까지 관측한다,위험이 커지기 전에 보리치와 외부에서 마지막 지형·기상 자료를 모은다.,Week 3에 쓸 수 있는 폭풍 직전 기준 자료를 확보했다.,4,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_LAST_OBS_DONE,FIRE,ADD_XP,STAT,TECHNICAL,2,,,,,TRUE,
CHS_W2_PERSONAL_ITEMS,CHO_W2_ITEMS_STRICT,1,필수품만 허용한다,개인 물품을 최대한 줄여 수송선의 공간과 보급 여유를 확보한다.,수송선은 효율적으로 채워졌지만 사람들에게 남은 불만도 생겼다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_ITEMS_STRICT,FIRE,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_PERSONAL_ITEMS,CHO_W2_ITEMS_FLEX,2,일부 개인 물품을 허용한다,각자에게 작은 범위의 개인 물품 공간을 허용하고 충돌을 조정한다.,조금 비효율적이지만 사람들은 자신이 가져온 삶의 흔적을 지킬 수 있게 됐다.,3,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W2_ITEMS_FLEX,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W2_PRES_SETTLE,CHO_W2_PRES_SETTLE,1,거주지 방풍막을 보강한다,세 시간을 들여 폭풍 전에 한 번 더 보호 작업을 한다.,당장의 피난 준비 시간은 줄었지만 외부의 보존 가능성이 조금 올라갔다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_PRESERVE_SETTLEMENT,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_PRES_OASIS,CHO_W2_PRES_OASIS,1,오아시스 설비를 보강한다,세 시간을 들여 폭풍 전에 한 번 더 보호 작업을 한다.,당장의 피난 준비 시간은 줄었지만 외부의 보존 가능성이 조금 올라갔다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_PRESERVE_OASIS,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_PRES_GRAVE,CHO_W2_PRES_GRAVE,1,묘지 방풍막을 보강한다,세 시간을 들여 폭풍 전에 한 번 더 보호 작업을 한다.,당장의 피난 준비 시간은 줄었지만 외부의 보존 가능성이 조금 올라갔다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_PRESERVE_GRAVEYARD,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W2_PRES_SHIP,CHO_W2_PRES_SHIP,1,수송선 외부 구조를 보강한다,세 시간을 들여 폭풍 전에 한 번 더 보호 작업을 한다.,당장의 피난 준비 시간은 줄었지만 외부의 보존 가능성이 조금 올라갔다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_PRESERVE_SHIP,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W3_DAILY_NAV,CHO_W3_DAILY_NAV,1,항해·통신 계통을 점검한다,두 시간을 써서 오늘의 주요 문제를 하나 정리한다.,해당 구역의 안정도가 조금 올라갔다.,2,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W3_NAV_STABILITY,1,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W3_DAILY_SUPPLY,CHO_W3_DAILY_SUPPLY,1,보급과 생명유지를 재정리한다,두 시간을 써서 오늘의 주요 문제를 하나 정리한다.,해당 구역의 안정도가 조금 올라갔다.,2,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W3_SUPPLY_STABILITY,1,ADD_XP,STAT,PERSONAL,1,,,,,TRUE,
CHS_W3_DAILY_TECH,CHO_W3_DAILY_TECH,1,기관·연구 시스템을 정비한다,두 시간을 써서 오늘의 주요 문제를 하나 정리한다.,해당 구역의 안정도가 조금 올라갔다.,2,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W3_TECH_STABILITY,1,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W3_DAILY_HABIT,CHO_W3_DAILY_HABIT,1,거주 구역 문제를 처리한다,두 시간을 써서 오늘의 주요 문제를 하나 정리한다.,해당 구역의 안정도가 조금 올라갔다.,2,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W3_HABIT_STABILITY,1,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_EVT_W3_POWER_PRIORITY,CHO_EVT_W3_POWER_NAV,1,지휘·항해를 우선한다,즉시 남은 전력을 함교와 항해 계통에 우선 배분한다.,항해 계통은 안정됐지만 거주 구역에 부담이 갔다.,0,0,NONE,0,,,,,,,,,,SET_STATE,STATE,STA_W3_POWER_PRIORITY,NAV,ADD_STATE,STATE,STA_W3_NAV_STABILITY,1,ADD_STATE,STATE,STA_W3_HABIT_STABILITY,-1,TRUE,EVENT에서 제시되는 즉시 판단 예외: TimeCost 0 허용.
CHS_EVT_W3_POWER_PRIORITY,CHO_EVT_W3_POWER_TECH,2,기관·연구를 우선한다,코어와 분석 장비에 남은 전력을 우선 배분한다.,기관·연구 계통은 안정됐지만 보급 설비가 불안정해졌다.,0,0,NONE,0,,,,,,,,,,SET_STATE,STATE,STA_W3_POWER_PRIORITY,TECH,ADD_STATE,STATE,STA_W3_TECH_STABILITY,1,ADD_STATE,STATE,STA_W3_SUPPLY_STABILITY,-1,TRUE,EVENT 즉시 선택.
CHS_EVT_W3_POWER_PRIORITY,CHO_EVT_W3_POWER_HABIT,3,거주 구역을 우선한다,사람이 있는 구역의 전력과 생명유지를 우선한다.,사람들은 안정됐지만 기관 계통의 여유가 줄었다.,0,0,NONE,0,,,,,,,,,,SET_STATE,STATE,STA_W3_POWER_PRIORITY,HABIT,ADD_STATE,STATE,STA_W3_HABIT_STABILITY,1,ADD_STATE,STATE,STA_W3_TECH_STABILITY,-1,TRUE,EVENT 즉시 선택.
CHS_W3_CHAOS,CHO_W3_CHAOS,1,네 구역의 상태를 정리한다,샘과 함께 각 구역의 보고를 모아 무엇이 실제 문제인지 정리한다.,첫날의 혼란이 최소한의 질서를 되찾았다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_CHAOS_STABILIZED,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W3_ANALYSIS_DAILY,CHO_W3_ANALYSIS_DAILY,1,오늘의 관측 자료를 분석한다,보리치의 기상 기록과 제이의 지질 모델을 한 번 더 갱신한다.,폭풍 구조에 대한 분석이 한 단계 진척됐다.,3,0,NONE,0,,,,,,,,,,ADD_STATE,STATE,STA_W3_OBSERVATION_PROGRESS,1,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W3_ANALYSIS_MODEL,CHO_W3_MODEL_PRE_DATA,1,폭풍 전 자료를 기준점으로 삼는다,폭풍 직전 외부에서 확보한 자료와 현재 관측을 빠르게 겹친다.,이전 기준점 덕분에 피해와 종료 시점 계산을 빠르게 마쳤다.,2,0,NONE,0,AND,STATE,STA_W3_PRE_STORM_DATA,EQ,TRUE,,,,,EMIT_EVENT,EVENT,EVT_W3_FORECAST_READY,FIRE,ADD_XP,STAT,TECHNICAL,2,,,,,TRUE,Week2 Side Quest 보상.
CHS_W3_ANALYSIS_MODEL,CHO_W3_MODEL_FROM_SCRATCH,2,현재 자료로 처음부터 재구성한다,기준 자료가 부족해 지질과 기상 데이터를 처음부터 다시 맞춘다.,시간은 더 들었지만 폭풍의 피해 범위와 종료 시점을 계산했다.,5,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_FORECAST_READY,FIRE,ADD_XP,STAT,TECHNICAL,2,,,,,TRUE,
CHS_W3_FORECAST,CHO_W3_FORECAST,1,사람들에게 종료 예측을 발표한다,사람들을 모으고 Day 21 무렵 폭풍이 끝날 가능성과 예상 피해를 설명한다.,처음으로 모두가 '폭풍 뒤'를 구체적으로 이야기하기 시작했다.,4,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_FORECAST_ANNOUNCED,FIRE,ADD_XP,STAT,SOCIAL,2,,,,,TRUE,
CHS_W3_DAY21,CHO_W3_DAY21,1,문을 열고 밖으로 나간다,외부 안전을 확인하고 수송선 밖으로 나가 21일 동안 지켜낸 장소들을 직접 본다.,폭풍 뒤의 행성은 플레이어의 이전 선택을 그대로 보여준다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_OUTSIDE_ASSESSED,FIRE,,,,,,,,,TRUE,
CHS_W3_FUTURE_SAM,CHO_W3_SAM_LEAVE,1,안전을 우선해 떠날 준비를 하자,제이는 아직 남아 있는 위험과 사람들의 생존 책임을 강조한다.,샘은 출항 가능한 수송선을 놓치지 말아야 한다는 쪽으로 생각을 굳힌다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_SAM_LEAVE,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W3_FUTURE_SAM,CHO_W3_SAM_STAY,2,남을 가능성도 끝까지 계산하자,"제이는 안전을 무시하지 않되, 살아남은 행성 기반도 판단 대상에 넣자고 설득한다.",샘은 정착 가능성을 배제하지 않고 최종 상태를 본 뒤 결정하기로 한다.,3,0,SOCIAL,4,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_SAM_STAY,FIRE,ADD_XP,STAT,SOCIAL,2,,,,,TRUE,
CHS_W3_FUTURE_JINA,CHO_W3_JINA_LEAVE,1,비축이 남아 있을 때 떠나야 한다,제이는 남은 식량과 물이 출항 준비를 버틸 수 있을 때 움직여야 한다고 말한다.,지나는 떠나는 쪽이 더 책임 있는 선택이라고 본다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_JINA_LEAVE,FIRE,ADD_XP,STAT,SOCIAL,1,,,,,TRUE,
CHS_W3_FUTURE_JINA,CHO_W3_JINA_STAY,2,밖의 생활 기반이 남아 있다면 다시 계산하자,제이는 거주지와 오아시스가 모두 살아 있다면 자원 계산 자체가 달라진다고 지적한다.,지나는 실제 보존 상태를 확인한다면 정착을 다시 계산하겠다고 한다.,3,0,NONE,0,AND,STATE,STA_PRESERVE_SETTLEMENT,GE,2,STATE,STA_PRESERVE_OASIS,GE,2,EMIT_EVENT,EVENT,EVT_W3_JINA_STAY,FIRE,ADD_XP,STAT,SOCIAL,2,,,,,TRUE,
CHS_W3_FUTURE_FAYE,CHO_W3_FAYE_LEAVE,1,살린 배를 떠나는 데 쓰자,제이는 지금까지 수송선을 살린 이유를 출항 가능성으로 연결한다.,페이는 기술적으로 가능한 출항을 우선하는 쪽에 선다.,2,0,NONE,0,,,,,,,,,,EMIT_EVENT,EVENT,EVT_W3_FAYE_LEAVE,FIRE,ADD_XP,STAT,TECHNICAL,1,,,,,TRUE,
CHS_W3_FUTURE_FAYE,CHO_W3_FAYE_STAY,2,외부 설비까지 살아 있다면 여기서 다시 만들 수 있다,제이는 수송선 외부 구조와 내부 기술 시스템이 모두 버텼다면 정착도 기술적 선택이 된다고 말한다.,페이는 복구 가능한 기술 기반이 실제로 남았다면 정착을 검토하겠다고 한다.,3,0,NONE,0,AND,STATE,STA_PRESERVE_SHIP,GE,2,STATE,STA_W3_TECH_STABILITY,GE,3,EMIT_EVENT,EVENT,EVT_W3_FAYE_STAY,FIRE,ADD_XP,STAT,TECHNICAL,2,,,,,TRUE,
